
[+] General Parameters:
Training data:	task3_train_norm.txt
Train-Validation split: 0.8
Feature vector representation: Dense.
Ranking method:	MART
Feature description file:	features.txt
Train metric:	NDCG@20
Test metric:	NDCG@20
Feature normalization: No

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]... [Done.]            
(7033 ranked lists, 75057 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@20-T | NDCG@20-V | 
---------------------------------
145     | 0.7543    | 0.7463    | 
146     | 0.7544    | 0.7465    | 
147     | 0.7546    | 0.7464    | 
148     | 0.7546    | 0.7464    | 
149     | 0.7546    | 0.7463    | 
150     | 0.7547    | 0.7467    | 
151     | 0.7548    | 0.7468    | 
152     | 0.7548    | 0.7468    | 
153     | 0.7549    | 0.7463    | 
154     | 0.7547    | 0.7462    | 
155     | 0.7545    | 0.7463    | 
156     | 0.7546    | 0.7463    | 
157     | 0.7547    | 0.7462    | 
158     | 0.7548    | 0.7469    | 
159     | 0.755     | 0.7469    | 
160     | 0.7552    | 0.7469    | 
161     | 0.7553    | 0.7471    | 
162     | 0.7553    | 0.7464    | 
163     | 0.7553    | 0.747     | 
164     | 0.7554    | 0.7472    | 
165     | 0.7555    | 0.7471    | 
166     | 0.7556    | 0.7471    | 
167     | 0.7557    | 0.7472    | 
168     | 0.7558    | 0.747     | 
169     | 0.7558    | 0.7469    | 
170     | 0.7557    | 0.7468    | 
171     | 0.7558    | 0.7468    | 
172     | 0.7557    | 0.7471    | 
173     | 0.7558    | 0.747     | 
174     | 0.7558    | 0.7471    | 
175     | 0.7559    | 0.747     | 
176     | 0.7559    | 0.7469    | 
177     | 0.7557    | 0.7468    | 
178     | 0.7557    | 0.7469    | 
179     | 0.7557    | 0.7475    | 
180     | 0.7559    | 0.747     | 
181     | 0.7558    | 0.7471    | 
182     | 0.7559    | 0.7469    | 
183     | 0.7561    | 0.7475    | 
